Compound ID;InChIKey;SMILES;logS;logP;MW
C5505;MHMRAFONCSQAIA-UHFFFAOYSA-N;CC(=O)Nc1c(=O)n(c2c1ssc2)C;-3,036;1,64;228,29
C5506;FKSJEYYFXJIKAK-UHFFFAOYSA-N;c1ccc(cc1)CCNCc1ccc2c(n1)cccc2.Cl.Cl;-3,035;5,56;335,27
C5507;NGRDFVAIXCRXHN-UHFFFAOYSA-N;CC[NH+](CCNC(=O)c1ccc(cc1)[N+](=O)[O-])CC.[Cl-];-3,034;-1,83;301,77
C5508;SSJCLYBTEHEIIL-FLCXFYETSA-N;CCN1CC[C@@]23[C@H]([C@H]1Cc1c3cc(cc1)O)CCCC2.Br;-3,033;4,37;352,31
C5509;STIDRZRESMTQBD-UHFFFAOYSA-N;Cc1cc(C)c(c(c1C)C(=O)O)C;-3,033;2,62;178,23
C5510;BBGKDYHZQOSNMU-UHFFFAOYSA-N;O1CCOC2CCCCC2OCCOCCOC2C(OCC1)CCCC2;-3,033;2,72;372,5
C5511;BMTLAPIIHHSIFJ-UHFFFAOYSA-N;O=C1NCCC2(O1)CCN(CC2)CCCC(=O)c1ccc(cc1)F;-3,032;3,02;334,39
C5512;NFYYATWFXNPTRM-QJICHLCESA-N;C=C[C@]12CN([C@H]3[C@@H]2[C@]2([C@H]4C[C@@H]1[C@@H]3CO4)C(=O)Nc1c2cccc1)C;-3,032;2,1;322,4
C5513;XXSMGPRMXLTPCZ-UHFFFAOYSA-N;OCCN(CCCC(Nc1ccnc2c1ccc(c2)Cl)C)CC;-3,032;3,86;335,87
C5514;YIANRXVOCWAPDK-UHFFFAOYSA-N;[O-][N+](=O)O.[O-][N+](=O)O.CCN1CCN(CC1C(=O)Nc1c(C)cc(cc1C)C)CC;-3,03;2,88;429,47
C5515;JFJVYCLGHWPODH-UHFFFAOYSA-N;OC(=O)CNC(=O)c1cccc(c1)I;-3,03;1,5;305,07
C5516;GZWDKGZNTUWBEC-UHFFFAOYSA-N;CS(=O)(=O)c1ccc(cc1)c1nc2n(c1)cccc2.Cl;-3,03;4,29;308,78
C714;RKWGIWYCVPQPMF-UHFFFAOYSA-N;CCCNC(=O)NS(=O)(=O)c1ccc(cc1)Cl;-3,03;3,6;276,74
C715;GGSUCNLOZRCGPQ-UHFFFAOYSA-N;CCN(c1ccccc1)CC;-3,03;2,53;149,23
C716;MJVAVZPDRWSRRC-UHFFFAOYSA-N;O=C1C=C(C)C(=O)c2c1cccc2;-3,03;2,01;172,18
C717;WWUVJRULCWHUSA-UHFFFAOYSA-N;CCCC(=C)C;-3,03;2,36;84,16
C718;BBXXLROWFHWFQY-UHFFFAOYSA-N;CCCCc1c(C)nc([nH]c1=O)NCC;-3,03;1,93;209,29
C5517;KSEYRUGYKHXGFW-UHFFFAOYSA-N;C=CCN1CCCC1CNC(=O)c1cc2n[nH]nc2cc1OC;-3,028;1,68;315,37
C5518;BWMMRMDCODVQBX-UHFFFAOYSA-N;CNC(=O)Nc1c(OCCN2CCCC2)c(OC)c2c(c1OC)cco2;-3,028;3,08;363,41
C5519;LPQDBWXROSWZMP-UHFFFAOYSA-N;O=C(Nc1ccccc1Cl)Nc1ncco1;-3,027;3,12;237,64
C5520;WCSFICOQZXHPAJ-UHFFFAOYSA-N;O=C(Nc1ncco1)Nc1cccc(c1)Cl;-3,027;3,12;237,64
C5521;PRHMYCNOWXYHEI-UHFFFAOYSA-N;O=C(Nc1ncco1)Nc1ccc(cc1)Cl;-3,027;3,12;237,64
C5522;UQZPGHOJMQTOHB-UHFFFAOYSA-N;ClCCN(CCCl)CC;-3,026;1,79;170,08
C5523;HDSDGRXOONRLIE-VGOFMYFVSA-N;CC(N(C(C)C)CC(=O)N/N=C/c1ccc(o1)[N+](=O)[O-])C;-3,024;2,67;296,32
C5524;ZDPACSAHMZADFZ-UHFFFAOYSA-N;COc1cc(OC)cc(c1C(=O)CCCN1CCCC1)OC.Cl;-3,023;3,51;343,85
C5525;MOYRNPQPENKGPY-QUQDROCISA-N;CN1CC[C@@]23[C@H]([C@H]1Cc1c3cc(c(c1)C)O)CCCC2.Cl;-3,022;4,13;307,86
C5526;CQNGHORGWAQCJI-FLCXFYETSA-N;Oc1cc(C)c2c(c1)[C@]13CCCC[C@H]3[C@@H](C2)N(CC1)C.Cl;-3,022;4,13;307,86
C5527;OFDMOELKFCRQKE-UHFFFAOYSA-N;CCOC(=O)N1C(OC)Oc2c1cccc2;-3,022;2,04;223,23
C5528;GSDXPNOJFAITBE-UHFFFAOYSA-N;COc1ccc(cc1)CN(c1nccs1)CCN(C)C.Cl;-3,021;3,52;327,87
C5529;NIPRGEWHJUTVQK-UHFFFAOYSA-N;S=C1NCCC(O1)COc1ccccc1;-3,02;2,06;223,29
C5530;CEPUEFFXFOOTDZ-UHFFFAOYSA-N;CCNS(=O)(=O)c1ccc(cc1)Br;-3,02;3,22;264,14
C5531;BGJZMKPSRLHMME-UHFFFAOYSA-N;CCCCCOC(=O)c1ccco1;-3,02;2,63;182,22
C719;BBXXLROWFHWFQY-UHFFFAOYSA-N;CCCCc1c(C)nc(nc1O)NCC;-3,02;2,34;209,29
C5532;JKEQJSXVKIBVBU-UHFFFAOYSA-N;Oc1cccc(c1)C(=O)OCCCN1CCCCC1C;-3,019;2,75;277,36
C5533;ASQZBIDTYBYRLK-UHFFFAOYSA-N;Oc1ccc(cc1)C(=O)OCCCN1CCCCC1C;-3,019;2,75;277,36
C5534;VAGQQSKCZRCJHF-UHFFFAOYSA-N;CCCCN1CCC(CC1)(OC(=O)CC)Cc1cccc(n1)C.Cl.Cl;-3,019;5,06;391,38
C5535;ANOMHKZSQFYSBR-UHFFFAOYSA-N;OCCOCCN1CCN(CC1)C(c1ccc(cc1)Cl)c1ccccc1.Cl.Cl;-3,019;4,54;447,83
C5536;NAMSOPNNAZYEMZ-UHFFFAOYSA-N;CC[NH+](CCN1C(=O)C(C)Oc2c1cc(C)cc2)CC.[Cl-];-3,019;-1,9;312,84
C5537;TVZCRIROJQEVOT-CABCVRRESA-N;N#Cc1ccc2c(c1)[C@@H](N1CCCC1=O)[C@@H](C(O2)(C)C)O;-3,018;1,69;286,33
C5538;TVOAVZLZJXCTGE-ZJUUUORDSA-N;ClCCN(C(=O)N[C@@H]1CCCC[C@@H]1OC(=O)C)N=O;-3,018;2,18;291,73
C5539;APIXMWJMJACVBU-CMDGGOBGSA-N;C#CC(NC(=O)/C=C/c1cc(OC)c(c(c1)OC)OC)(C)C;-3,018;2,64;303,35
C5540;VXCUXAQPTKJOCT-MDZDMXLPSA-N;O=C(/C=C/c1ccccc1)CCN1CCN(CC1)c1ccccn1;-3,017;2,88;321,42
C5541;HWHHQAIKYRNUCS-UHFFFAOYSA-N;Clc1ccc2c(c1)CN(OC2)CCc1cc[nH+]cc1.[Cl-];-3,015;-0,41;311,21
C5542;CLMSSAXBOFCANU-UHFFFAOYSA-N;Brc1ccc(nc1)OCCCCN1CSCC1.Cl;-3,015;3,75;353,71
C5543;SCYNFLAVUZUFTM-UHFFFAOYSA-N;COc1nc2c(o1)ccc(c2)Cl;-3,015;2,49;183,59
C5544;QYCSNMDOZNUZIT-UHFFFAOYSA-N;NN=C(c1ccccc1)c1ccccc1;-3,015;3,1;196,25
C5545;RJQXTJLFIWVMTO-TYNCELHUSA-N;COc1cccc(c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC([C@@H]2C(=O)O)(C)C)OC;-3,015;1,28;380,42
C5546;YGRSFVUXNRPCJA-UHFFFAOYSA-N;[O-][N+](=O)c1ncc(n1C)CCCC;-3,014;2,19;183,21
C5547;WUAAJHKTLJWUPX-UHFFFAOYSA-N;CCCCC(COC(=O)NNC(C)C)(CO)C;-3,014;2,6;246,35
C5548;YBMDPYAEZDJWNY-UHFFFAOYSA-N;FC1=C(F)C(C(C1(F)F)(F)F)(F)F;-3,014;3,06;212,04
C5549;XLNFLJOWTRDNCX-JXMROGBWSA-N;COC(=O)/C(=C/c1ccccc1)/C#N;-3,014;1,77;187,2
C5550;GLJATYFHELDGEA-AATRIKPKSA-N;Clc1ccc(cc1)/C=C/[N+](=O)[O-];-3,014;3,11;183,59
C5551;KZDCLQBOHGBWOI-UHFFFAOYSA-N;OC(=O)COc1c(Cl)cc(cc1Cl)Cl;-3,013;3,11;255,48
C5552;AVFGEQIITULSTD-UHFFFAOYSA-N;CCC(=O)N1OCc2c(C1)ccc(c2)Cl;-3,013;2,46;225,67
C5553;HXLCWJFBAHHGQB-UHFFFAOYSA-N;CCC(=O)N1Cc2cc(Cl)ccc2CO1;-3,013;2,46;225,67
C5554;HYOCUNMMJQCBHU-UHFFFAOYSA-N;CC(N(C)C)CC(c1ccccc1)(c1ccccc1)O.Cl;-3,011;4,06;305,84
C5555;KWASCACKNUFQKQ-UHFFFAOYSA-N;NCCCC12CC3CC(C2)CC(C1)C3.Cl;-3,011;4,44;229,79
C5556;XLOPRKKSAJMMEW-SFYZADRCSA-N;CC(=C[C@@H]1[C@H](C1(C)C)C(=O)O)C;-3,011;2,31;168,23
C5557;PMDUNHOOULGNCQ-UHFFFAOYSA-N;N#Cc1ccc2c(c1)C(=NCC(=O)N2C)c1ccccc1;-3,01;1,87;275,31
C720;YVXHZKKCZYLQOP-UHFFFAOYSA-N;CCCCCC#C;-3,01;2,2;96,17
C721;YGLMVCVJLXREAK-OOCWMUITSA-N;O=C(N(C)C)N[C@H]1C[C@H]2C[C@@H]1[C@H]1[C@@H]2CCC1;-3,01;2,47;222,33
C722;ZWRUINPWMLAQRD-UHFFFAOYSA-N;CCCCCCCCCO;-3,01;2,73;144,25
C5558;CIDWJZPXRNBAKP-UHFFFAOYSA-N;SCCNCCCCc1ccc(cc1)OC.Cl;-3,009;3,73;275,84
C5559;OYMJHUCUQXLOTC-UHFFFAOYSA-N;CCCCC(COC(=O)N)(COC(=O)NCC#C)C;-3,008;2,73;270,33
C5560;WAOCXJLDAMRLHV-UHFFFAOYSA-N;Clc1ccc(nc1)OCCCCCN1CSCC1.Cl;-3,008;4,03;323,28
C5561;LMEKQMALGUDUQG-UHFFFAOYSA-N;Cn1cnc(c1Sc1ncnc2c1[nH]cn2)[N+](=O)[O-];-3,007;1,67;277,26
C5562;UCTWMZQNUQWSLP-VIFPVBQESA-N;CNC[C@@H](c1ccc(c(c1)O)O)O;-3,007;0,74;183,2
C5563;DLGSOJOOYHWROO-WQLSENKSSA-N;NC(=S)N/N=C\1/c2ccccc2N(C1=O)C;-3,007;1,36;234,28
C5564;KQLYMYILTPTBLL-UHFFFAOYSA-N;ClCCN(CCCOc1ccccc1)CC.Cl;-3,005;3,82;278,22
C5565;DJPYUBOZKZSLFO-UHFFFAOYSA-N;ClCCN(C1OCCN(C1)S(=O)(=O)c1ccc(cc1)C)CCCl;-3,004;3,14;381,32
C5566;CCZLMCQIVCOCNB-UHFFFAOYSA-M;CCCCC1(CC)C(=O)NC(=NC1=O)[S-].[Na+];-3,003;0,9;250,29
C5567;PTEUWWFEEPASRM-UHFFFAOYSA-N;CCCC(COC(=O)N)(COC(=O)NC1CC1)C;-3,002;2,87;258,31
C5568;ABUKMOCUMIPDHV-UHFFFAOYSA-N;OC(=O)C(c1ccccc1)Oc1ccccc1;-3;2,89;228,24
C723;LFULEKSKNZEWOE-UHFFFAOYSA-N;CCC(=O)Nc1ccc(c(c1)Cl)Cl;-3;3,41;218,08
C724;PAZQYDJGLKSCSI-UHFFFAOYSA-N;CCC1(C(=O)NC(=O)NC1=O)C1=CCCCCC1;-3;2,3;250,29
C725;KBEBGUQPQBELIU-CMDGGOBGSA-N;CCOC(=O)/C=C/c1ccccc1;-3;2,26;176,21
C726;XTRDKALNCIHHNI-UHFFFAOYSA-N;Cc1c(cccc1[N+](=O)[O-])[N+](=O)[O-];-3;2,86;182,13
C5569;SYSHPMOZZLONAK-UHFFFAOYSA-N;CCN(CCC1(CCC(=O)NC1=O)c1ccccc1)CC.Cl;-2,999;3,22;324,85
C5570;WWXMVRYHLZMQIG-SNAWJCMRSA-N;OC(=O)/C=C/c1cccc(c1)[N+](=O)[O-];-2,998;2,22;193,16
C5571;RZOXEODOFNEZRS-UHFFFAOYSA-N;C1CN=C(N1)Nc1cccc2c1CCCC2.Cl;-2,997;2,58;251,76
C5572;XVDVHWJHDXRAST-SOFGYWHQSA-N;CCCC1(C(=O)NC(=O)NC1=O)/C(=C/CC)/C;-2,996;2,15;238,28
C5573;RRTVVRIFVKKTJK-UHFFFAOYSA-N;O=C1CC(=O)N(c2c(N1)ccc(c2)Cl)c1ccccc1;-2,996;3,55;286,71
C5574;WCJFBSYALHQBSK-UHFFFAOYSA-N;CCC(=O)C(c1ccccc1)(c1ccccc1)CCN(C)C;-2,995;3,9;295,42
C5575;SXZZHGJWUBJKHH-UHFFFAOYSA-N;[O-][N+](=O)c1ccc(o1)c1nnc(s1)N;-2,994;2,39;212,19
C5576;IHWQUKMGROAAEH-UHFFFAOYSA-N;Nc1oc2c(n1)cc(c(c2)Cl)Cl;-2,993;3,3;203,03
C5577;UGNWTBMOAKPKBL-UHFFFAOYSA-N;ClC1=C(Cl)C(=O)C(=C(C1=O)Cl)Cl;-2,992;2,52;245,88
C5578;CPDDDTNAMBSPRN-ZZXKWVIFSA-N;OC(=O)/C=C/c1ccc(cc1)Br;-2,99;2,55;227,06
C5579;IPWGSXZCDPTDEH-UHFFFAOYSA-N;CN(CCOc1cc(C)c(cc1C(C)C)OC(=O)C)C.Cl;-2,99;3,79;315,84
C727;VHRSUDSXCMQTMA-IZBRYJPGSA-N;OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@@H](O)[C@H]1[C@H]2C[C@@H](C2=CC(=O)C=C[C@]12C)C;-2,99;1,8;374,47
C5580;NEYWCGJURRTMTC-UHFFFAOYSA-N;CN1CCN(CC1)CC(C(=O)c1c[nH]c2c1cccc2)c1ccccc1;-2,989;3,26;347,45
C5581;PVMRHHYSMYVGQV-UHFFFAOYSA-N;CNCCC12CC3CC(C2)CC(C1)C3.Cl;-2,988;4,01;229,79
C5582;SHIBSTMRCDJXLN-KCZCNTNESA-N;O[C@H]1CC[C@]2([C@@H](C1)CC[C@@H]1[C@@H]2C[C@@H](O)[C@]2([C@]1(O)CC[C@@H]2C1=CC(=O)OC1)C)C;-2,986;2,58;390,51
C5583;GCFLVEVTCIKTNM-UHFFFAOYSA-N;Cc1ccc(cc1)C(=O)Nc1ccncc1;-2,986;2,72;212,25
C5584;JXKQVGCVDCOCJA-UHFFFAOYSA-N;CSc1c(Cl)nc(nc1N1CCN(CC1)C)NC(C)(C)C;-2,985;2,89;329,89
C5585;YRZQHIVOIFJEEE-UHFFFAOYSA-N;Clc1ccc(cc1)Nc1ncnc(n1)N;-2,985;2,51;221,65
C5586;VREDNSVJXRJXRI-UHFFFAOYSA-N;CCCCCCCC(O)(C)C;-2,984;3,12;158,28
C5587;BDQPXVWYFLTETB-UHFFFAOYSA-M;C[N+](CCOC(c1ccccc1)c1ccccc1)(C)C.[Br-];-2,984;0,5;350,29
C5588;MADQXQUXQNQNPF-UHFFFAOYSA-N;O=C(C(c1ccccc1)(c1ccccc1)O)OCC[NH+]1CCCC1.[Cl-];-2,984;-0,28;361,86
C5589;XILVKGHOXYREOY-UHFFFAOYSA-N;COC(=O)c1c(C)ccc(c1OCC(CN1CCN(CC1)C)O)C(C)C;-2,984;1,77;364,48
C5590;KLPWJLBORRMFGK-UHFFFAOYSA-N;CCc1c(C)[nH]c2c1C(=O)C(CC2)CN1CCOCC1;-2,983;1,9;276,37
C5591;QRKPIRZTUBAFCF-UHFFFAOYSA-N;ClCCN(C(=O)NC1CCCC=C1)N=O;-2,982;2,42;231,68
C5592;IPSVAUIEEPSJRZ-UHFFFAOYSA-N;OCCOCCN1CCN(CC1)C(c1ccc(cc1)Cl)c1ccccc1.Cl;-2,982;3,73;411,37
C5593;UFNQVVBSSBHLEA-UHFFFAOYSA-N;C=CCNC(=O)OCC(C(C)C)(COC(=O)N)C;-2,98;2,75;258,31
C728;JOHZPMXAZQZXHR-UHFFFAOYSA-N;CCn1cc(C(=O)O)c(=O)c2c1nc(nc2)N1CCNCC1;-2,98;0,31;303,32
C729;QAHFOPIILNICLA-UHFFFAOYSA-N;CN(C(=O)C(c1ccccc1)c1ccccc1)C;-2,98;2,91;239,31
C730;RQNKKIXVVHCBKY-UHFFFAOYSA-N;O=C1NC(=O)NC(=O)C21CCCCCCC2;-2,98;1,74;224,26
C5594;KRMIFNSJPWRCNE-UHFFFAOYSA-N;OC(=O)C(=O)[O-].CC[NH+]1CCC(C1)OC(=O)Nc1ccccc1C;-2,979;0,68;338,36
C5595;PJMSJOVJUFYHTQ-UHFFFAOYSA-N;O=C(c1ccc(cc1)[N+](=O)[O-])Nc1ccncc1;-2,977;2,84;243,22
C5596;DRCKREXMVGWWIE-UHFFFAOYSA-N;O=C(c1ccc(cc1)[N+](=O)[O-])Nc1cccnc1;-2,977;2,84;243,22
C5597;ATAJVFBUUIBIEO-UHFFFAOYSA-N;Oc1ccc(c2c1CCC2)Cl;-2,977;2,53;168,62
C5598;QZNPXKRALPFXPR-UHFFFAOYSA-N;O=C(c1cccnc1)Nc1ccccn1;-2,977;1,8;199,21
C5599;RDQOCZCEKVRDDZ-UHFFFAOYSA-N;CCOc1ccc(cc1)C(=O)CCN1CCCCC1.Cl;-2,977;3,88;297,82
C5600;PNJUPRNTSWJWAX-ZDUSSCGKSA-N;COc1cc2CCN([C@@H]3c2c(c1O)C1(C=CC(=O)C=C1)C3)C;-2,976;2,2;297,35
C5601;TVOAVZLZJXCTGE-NXEZZACHSA-N;ClCCN(C(=O)N[C@@H]1CCCC[C@H]1OC(=O)C)N=O;-2,976;2,18;291,73
C5602;QJQNTWZWSVBFOK-UHFFFAOYSA-L;C[N+]1(CCCCC[N+]2(C)CCOCC2)CCOCC1.[Br-].[Br-];-2,974;-4,96;432,24
C5603;IAIWVQXQOWNYOU-FPYGCLRLSA-N;NC(=O)N/N=C/c1ccc(o1)[N+](=O)[O-];-2,974;1,8;198,14
C5604;RDJGWRFTDZZXSM-RNWLQCGYSA-N;CN1CC[C@@]23[C@@H]4[C@H]1Cc1c3c(O[C@H]2[C@H](C=C4)O)c(cc1)OCc1ccccc1;-2,972;3,01;375,46
C5605;QEPHYDVEKYUURE-UHFFFAOYSA-N;CNCC=C(c1ccccc1)c1ccc(cc1)F.Cl;-2,972;4,67;277,76
C5606;IDKUACLJPBLSHH-UHFFFAOYSA-N;C=CCn1c(=O)n(c2ccccc2)c(c(c1=O)N(C)C)C;-2,972;1,56;285,34
C5607;XQDQRCRASHAZBA-UHFFFAOYSA-N;N#CSc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-];-2,971;3,12;225,18
C5608;LVHCUONWHLDNDW-ZROIWOOFSA-N;CCN(/N=C\C(=O)c1ccc(cc1)Cl)CC;-2,971;2,85;238,71
C5609;LEHGCEPMNDWJMX-VAWYXSNFSA-N;C#CCNC(=O)/C(=C(/c1ccccc1)\C)/C;-2,971;2,62;213,28
C5610;LEHGCEPMNDWJMX-QXMHVHEDSA-N;C#CCNC(=O)/C(=C(\c1ccccc1)/C)/C;-2,971;2,62;213,28
C5611;HEOJWSWARCJDBI-UHFFFAOYSA-N;[O-]C(=O)CCC(=O)O.[NH3+]CC(c1ccc2c(c1)nc(o2)c1ccccc1)C;-2,97;1,44;370,4
C731;JYGXADMDTFJGBT-MKIDGPAKSA-N;OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C;-2,97;1,78;362,46
C1694;DMDGGSIALPNSEE-UHFFFAOYSA-N;"FC(c1cc2NCNS(=O)(=O)c2cc1S(=O)(=O)N)(F)F	";-2,97;3,34;331,29
C5612;FYFNFZLMMGXBMT-UHFFFAOYSA-M;CCCC[N+](CCCC)(CCCC)CC.[OH-];-2,969;4,05;231,42
C5613;DMFIGDASQQYBJQ-UHFFFAOYSA-N;COc1ccc2c(c1)c(ccc2)C(CN1CCCCC1)O.Cl;-2,968;4,11;321,84
C5614;FHHFNHFFCVLLHX-MDWZMJQESA-N;CN1CCN(CC1)CC(=O)N/N=C/c1ccc(o1)[N+](=O)[O-];-2,968;0,68;295,29
C5615;XGOMGJMAAOSFKF-UHFFFAOYSA-N;Nc1ccc2c(c1)nc1c(c2)cc(cc1)S(=O)(=O)N;-2,968;3,98;273,31
C5616;JKJVFVAYXDTCRD-MDZDMXLPSA-N;CN(/N=N/c1cccc(c1)[N+](=O)[O-])C;-2,966;2,68;194,19
C5617;MDYALASTPGGXQH-UHFFFAOYSA-N;COc1c(OC)cc2c(c1OC)c1ccc(=O)c(cc1C(CC2)NC(=O)C)OC;-2,965;3,26;399,44
C5618;XFCDHFGTGWBPIE-UHFFFAOYSA-N;CC(Cc1ccccc1)NNC(C)C;-2,965;2,9;192,3
C5619;PVNRNJYIJJGSRB-UHFFFAOYSA-N;NNC(Cc1ccc(cc1)C(C)C)C;-2,965;3,3;192,3
C5620;DTTDXHDYTWQDCS-UHFFFAOYSA-N;OC1(CCCCC1)c1ccccc1;-2,965;2,84;176,26
C5621;BSUIFZACDFHAMH-UHFFFAOYSA-N;Cc1ccc2c(c1)c(C)cc(n2)OCCCNCCSS(=O)(=O)O;-2,965;4,22;370,49
C5622;CJECIMVYFNJMEE-UHFFFAOYSA-N;Clc1cnc(c(c1)Cl)OCCCCCNCCSS(=O)(=O)O;-2,964;4,53;389,32
C5623;HUTYWYSVZSSBDI-UHFFFAOYSA-L;C[N+](C(c1ccccc1)c1ccccc1)(CCCCCC[N+](C(c1ccccc1)c1ccccc1)(C)C)C.[Br-].[Br-];-2,964;2,29;666,57
C5624;WCYZEFXIUWZKER-WLHGVMLRSA-N;NC1c2ccccc2C=Cc2c1cccn2.OC(=O)/C=C/C(=O)O;-2,963;3,03;324,33
C5625;POWMMMXVDBMFMP-QPMAGJLNSA-N;O=C1CC[C@]2([C@@H](C1)CC[C@@H]1[C@@H]2C[C@@H](O)[C@]2([C@]1(O)CC[C@@H]2C1=CC(=O)OC1)C)C;-2,963;2,78;388,5
C5626;YLJREFDVOIBQDA-UHFFFAOYSA-N;Nc1c2CCCCc2nc2c1cccc2;-2,961;3,28;198,26
C5627;SPPPYRUQHOFCCJ-UHFFFAOYSA-N;ClCCn1c(CC)cnc1[N+](=O)[O-];-2,96;2,12;203,63
C732;SMYMJHWAQXWPDB-UHFFFAOYSA-N;OC(=O)COc1cc(Cl)c(cc1Cl)Cl;-2,96;3,11;255,48
C733;KMGBZBJJOKUPIA-UHFFFAOYSA-N;CCCCI;-2,96;2,22;184,02
C734;ZZORFUFYDOWNEF-UHFFFAOYSA-N;COc1nc(OC)nc(c1)NS(=O)(=O)c1ccc(cc1)N;-2,96;2,61;310,33
C5628;BYUOBSUZYQAFJM-UHFFFAOYSA-N;O=c1[nH]c2c([nH]1)[nH]cnc2=O;-2,959;-1,06;152,11
C5629;GITPCGSPKUQZTE-UHFFFAOYSA-N;CCCOc1cc(N)ccc1C(=O)OCCN(CC)CC.Cl;-2,956;3,94;330,85
C5630;BFMBKRQFMIILCH-UHFFFAOYSA-N;CCN(CCC1(CCC(=O)NC1=O)c1ccccc1)CC;-2,956;2,42;288,39
C5631;UXAFRQPVHYZDED-ZZEDUEFDSA-N;OC[C@H]1O[C@@H](Oc2cc3CC[C@@H](c4c(c3c(c2OC)OC)ccc(c(=O)c4)OC)NC(=O)C)[C@@H]([C@H]([C@@H]1O)O)O;-2,955;0,43;547,55
C5632;VJQAGNDBNAYVDB-UHFFFAOYSA-N;CN(CC=C(c1ccccc1)c1ccccc1)C.Cl;-2,954;4,48;273,8
C5633;GJOHLWZHWQUKAU-UHFFFAOYSA-N;OP(=O)(O)O.OP(=O)(O)O.NCCCC(Nc1cc(OC)cc2c1nccc2)C;-2,953;1,7;455,34
C5634;BPALSJRJYDXLOS-UHFFFAOYSA-M;CCCCCCC1(C)OC(=O)[N-]C1=O.[Na+];-2,952;2,1;221,23
C5635;OTUQTLCXMLMMOH-UHFFFAOYSA-N;OCCOc1cc(ccc1C(=O)NC)c1ccccc1;-2,952;2,48;271,31
C5636;MMWJCCRTDOVKIH-UHFFFAOYSA-N;OCCOc1ccc(cc1C(=O)NC)c1ccccc1;-2,952;2,48;271,31
C5637;DALJCFUPKQGBLK-UHFFFAOYSA-M;O=C1[N-]C(=O)C(C(=O)N1)(c1ccccc1)c1ccccc1.[Na+];-2,951;1,78;302,26
C5638;MXWLYAJUZGDOGU-UHFFFAOYSA-N;COc1cccc(c1)N1CCN(CC1)CC(COc1ccccc1C(=O)C)O.Cl.Cl;-2,951;4,07;457,39
C5639;BXXVTBZNDMLJMK-UHFFFAOYSA-N;COc1ccccc1N1CCN(CC1)CC(COc1ccccc1C(=O)C)O.Cl.Cl;-2,951;4,07;457,39
C5640;PLEZOOJZXNJFCF-UHFFFAOYSA-N;CN(CCCC1(OC(=O)c2c1cccc2)c1ccccc1)C.Cl;-2,95;4,24;331,84
C5641;HSUGRBWQSSZJOP-RTWAWAEBSA-N;COc1ccc(cc1)[C@@H]1Sc2ccccc2N(C(=O)[C@@H]1OC(=O)C)CCN(C)C;-2,95;3,43;414,52
C5642;BYERQZBUECJLQD-UHFFFAOYSA-M;CC[N+](CCOCCC1CCC2CC1C2(C)C)(CC)C.[I-];-2,949;0,96;409,39
C5643;WHCIYAMCNYHKDJ-UHFFFAOYSA-N;NC(=O)NCCc1c(Cl)cccc1Cl;-2,949;3,3;233,1
C5644;AMJINLQYPJSVRM-UHFFFAOYSA-N;CC(CC12CC3CC(C2)CC(C1)C3)N.Cl;-2,948;4,44;229,79
C5645;HWQQCBDKNXSNIC-KHPPLWFESA-N;N#C/N=[N+](/c1ccc(cc1)Cl)\[O-];-2,947;2,94;181,58
C5646;WCLAXUCLVJWBAU-UHFFFAOYSA-N;NC1=NCC(O1)CN1CCN(CC1)c1ccccc1Cl;-2,947;1,31;294,78
C5647;DHTRHEVNFFZCNU-UHFFFAOYSA-N;CCC(=O)N(c1ccccc1)C(CN1CCCCC1)C;-2,946;3,24;274,4
C5648;XTWSCSNDXKSPIX-UHFFFAOYSA-M;CCCCN1C(=NC(=O)C(C1=O)(CC)CC)[O-].[Na+];-2,946;1,12;262,28
C5649;ALODHPFRWSUBCD-UHFFFAOYSA-N;C#CCNC(=O)OCC(C(CC)C)(COC(=O)N)C;-2,944;2,58;270,33
C5650;LONJSZKHAGAXPS-UHFFFAOYSA-N;ClCCN(C(=O)NC1CSCSC1)N=O;-2,944;2,12;269,77
C5651;PUYOAVGNCWPANW-UHFFFAOYSA-N;CC(COC(=O)c1ccc(cc1)N)C;-2,943;2,66;193,24
C5652;NFLGRPGGSIWLGW-UHFFFAOYSA-N;CN(CC(C(=O)c1c[nH]c2c1cccc2)c1ccccc1)C;-2,943;3,7;292,38
C5653;KCLANYCVBBTKTO-UHFFFAOYSA-N;CCCOc1ccc(cc1N)C(=O)OCCN(CC)CC;-2,943;3,14;294,39
C5654;KLBGDUZWAJNQRX-UHFFFAOYSA-N;CCCCNc1ccccc1OC;-2,943;2,98;179,26
C5655;JCZOOFVQWBRCAL-ZROIWOOFSA-N;CCN1CCN(CC1)CC(=O)N/N=C\c1ccc(o1)[N+](=O)[O-];-2,942;1,07;309,32
C5656;CAJIGINSTLKQMM-UHFFFAOYSA-N;CCCOc1cc(N)ccc1C(=O)OCCN(CC)CC;-2,942;3,14;294,39
C5657;ZQDWXGKKHFNSQK-UHFFFAOYSA-N;OCCOCCN1CCN(CC1)C(c1ccc(cc1)Cl)c1ccccc1;-2,942;2,93;374,9
